ct,ccd
36061000201,1
36061000600,1
36061001401,1
36061001402,1
36061001800,1
36061002201,2
36061002601,2
36061002602,2
36061002800,2
36061003100,1
36061003200,2
36061003300,1
36061003400,2
36061003601,1
36061003602,2
36061003700,3
36061003900,1
36061004001,2
36061004002,2
36061004100,1
36061004300,1
36061004500,1
36061005200,3
36061005400,3
36061005501,2
36061005502,2
36061005800,3
36061006300,2
36061006500,2
36061006700,3
36061006800,2
36061006900,3
36061007001,4
36061007002,2
36061007100,3
36061007200,2
36061007300,3
36061007500,3
36061007600,3
36061007700,3
36061007800,4
36061008000,4
36061008100,3
36061008200,4
36061008300,3
36061008400,4
36061008700,3
36061008900,3
36061009100,3
36061009200,4
36061009300,3
36061009400,4
36061009500,3
36061009600,4
36061009700,3
36061009800,4
36061009902,3
36061009903,3
36061010000,4
36061010100,3
36061010200,4
36061010300,3
36061010400,4
36061010801,4
36061010802,4
36061010803,4
36061010900,3
36061011100,3
36061011201,4
36061011202,4
36061011203,4
36061011300,3
36061011401,4
36061011402,4
36061011800,5
36061011900,3
36061012000,4
36061012101,3
36061012102,3
36061012200,4
36061012500,3
36061012601,5
36061012602,5
36061012700,3
36061013000,4
36061013100,3
36061013201,5
36061013202,5
36061013300,3
36061013601,5
36061013602,5
36061014801,4
36061014900,6
36061015001,4
36061015002,4
36061015101,6
36061015301,6
36061015302,6
36061015401,5
36061015402,5
36061015403,5
36061015501,6
36061015601,8
36061015602,8
36061015700,6
36061015801,5
36061015802,8
36061016001,5
36061016002,8
36061016100,6
36061016200,8
36061016400,8
36061016500,6
36061016600,8
36061016900,6
36061017000,8
36061017100,6
36061017200,8
36061017300,6
36061017401,9
36061017402,8
36061017500,6
36061017700,7
36061018000,8
36061018100,6
36061018400,8
36061018600,9
36061018700,7
36061019200,8
36061019300,7
36061019400,8
36061019500,7
36061019600,9
36061019702,9
36061019900,7
36061020500,7
36061020600,9
36061020701,7
36061020800,9
36061021100,7
36061021303,7
36061021500,9
36061021600,9
36061021703,9
36061021800,9
36061022000,9
36061022102,9
36061022200,9
36061022301,7
36061022400,9
36061022500,7
36061022600,9
36061022800,9
36061023100,9
36061023400,9
36061023502,9
36061024100,7
36061024200,8
36061024301,10
36061024700,7
36061024900,10
36061025100,10
36061025500,10
36061026500,10
36061026700,10
36061026900,10
36061027100,10
36061028100,10
36061029100,10
36061029300,10
36061029500,10
36061030900,10
36005000100,22
36005000200,18
36005001600,18
36005001904,17
36005002002,18
36005002300,8
36005002500,8
36005002701,8
36005002702,8
36005003800,18
36005003900,8
36005004001,18
36005004100,8
36005004200,18
36005004400,18
36005004600,18
36005004800,18
36005005001,18
36005005002,18
36005005400,17
36005006302,16
36005006400,18
36005006500,17
36005006800,18
36005007000,18
36005007200,18
36005007400,18
36005007600,18
36005007800,18
36005007900,8
36005008300,17
36005008400,18
36005008500,17
36005008600,18
36005008700,17
36005009200,18
36005009600,18
36005011701,17
36005011702,17
36005011900,17
36005012101,17
36005012102,17
36005012500,17
36005012901,17
36005013000,13
36005013100,17
36005013200,13
36005013300,17
36005013500,17
36005013800,13
36005014400,13
36005014900,16
36005015100,17
36005015200,13
36005015300,17
36005015800,13
36005016000,13
36005016200,13
36005016300,15
36005016400,13
36005017100,16
36005017500,16
36005017701,16
36005017702,16
36005017901,16
36005017902,16
36005018101,16
36005018102,16
36005018302,16
36005018400,13
36005018900,16
36005019700,16
36005019900,16
36005020200,18
36005020400,18
36005020601,18
36005020900,16
36005021002,18
36005021100,16
36005021301,14
36005021302,16
36005021501,14
36005021502,14
36005021700,14
36005021800,17
36005021900,16
36005022101,16
36005022102,16
36005022300,16
36005022403,13
36005022404,13
36005022500,16
36005022701,14
36005022702,16
36005022703,15
36005022800,13
36005022901,14
36005022902,15
36005023100,15
36005023200,13
36005023301,14
36005023302,15
36005023600,13
36005023704,14
36005023900,14
36005024100,14
36005024300,14
36005024400,13
36005024501,14
36005024502,14
36005024600,13
36005024800,13
36005024900,14
36005025000,13
36005025100,14
36005025200,13
36005025300,14
36005025400,13
36005025500,14
36005026100,14
36005026300,14
36005026400,13
36005026500,14
36005026601,13
36005026602,13
36005026701,14
36005026702,14
36005027300,14
36005027700,14
36005027900,11
36005028100,11
36005028600,13
36005028700,11
36005028800,13
36005028900,11
36005029500,11
36005029600,13
36005030000,13
36005030100,11
36005030201,12
36005030701,11
36005030900,11
36005031000,13
36005031200,13
36005031400,13
36005031600,13
36005031800,13
36005031900,11
36005032300,11
36005032400,13
36005032600,13
36005032800,13
36005033000,13
36005033201,15
36005033202,15
36005033601,12
36005033602,12
36005033801,13
36005033802,12
36005034000,12
36005034200,12
36005034300,11
36005034400,12
36005034800,12
36005035600,12
36005035900,15
36005036000,13
36005036300,15
36005036400,12
36005036501,15
36005036800,12
36005036901,15
36005036902,15
36005037000,12
36005037100,15
36005037200,12
36005037300,15
36005037400,12
36005037504,15
36005037900,15
36005038000,12
36005038100,15
36005038200,12
36005038301,15
36005038303,15
36005038600,12
36005038700,15
36005038800,12
36005039000,12
36005039100,15
36005039200,12
36005039400,12
36005039600,12
36005039800,12
36005040302,15
36005040303,14
36005040304,14
36005040400,12
36005040501,15
36005040502,15
36005040600,12
36005040701,14
36005040702,15
36005040800,12
36005040900,11
36005041500,11
36005041900,11
36005042000,11
36005042100,11
36005042200,11
36005042300,11
36005042400,12
36005042800,12
36005042902,11
36005043000,11
36005043101,11
36005043400,11
36005043600,11
36005044200,11
36005044400,12
36005044800,12
36005044901,11
36005044902,11
36005045102,11
36005045600,13
36005045800,12
36005046000,12
36005046203,12
36005046204,12
36005046206,12
36005046207,12
36005046208,12
36005046209,12
36005048401,12
36005048402,12
36005050400,13
36005051601,13
36005051602,13
36081000200,32
36081000400,32
36081000600,32
36081000702,26
36081000800,32
36081001000,32
36081001200,32
36081001400,32
36081001600,32
36081002200,32
36081002400,29
36081002600,29
36081002800,29
36081003000,32
36081003100,26
36081003200,32
36081003302,26
36081003400,32
36081003800,32
36081004001,32
36081004002,32
36081004200,32
36081004300,26
36081004500,22
36081004700,26
36081005000,32
36081005100,26
36081005200,32
36081005300,22
36081005500,26
36081005700,26
36081006300,22
36081006501,22
36081006502,22
36081006900,22
36081007100,22
36081007300,22
36081007500,22
36081007700,22
36081007900,22
36081008100,22
36081008300,22
36081008500,26
36081009400,28
36081009500,22
36081009600,28
36081009700,22
36081009800,29
36081009900,22
36081010000,28
36081010100,22
36081010200,28
36081010300,22
36081010400,28
36081010500,22
36081010800,29
36081011000,29
36081011100,22
36081011200,29
36081011300,22
36081011400,29
36081011500,22
36081011600,29
36081011700,22
36081011800,29
36081011900,22
36081012000,29
36081012100,22
36081012200,29
36081012400,29
36081012601,29
36081012602,29
36081012800,29
36081013200,29
36081013400,29
36081013500,22
36081013800,29
